Nota Parcial 1,Pasa/Pierde
1,Pierde
1,Pierde
1,Pierde
5,Pasa
3,Pierde
3,Pasa
5,Pasa
5,Pasa
1,Pierde
2,Pierde
4,Pasa
2,Pasa
5,Pasa
3,Pasa
0,Pierde
0,Pierde
2,Pierde
5,Pasa
4,Pasa
0,Pierde
1,Pierde
2,Pierde
2,Pierde
1,Pierde
5,Pasa
1,Pierde
0,Pierde
1,Pierde
1,Pierde
1,Pierde
4,Pierde
5,Pasa
3,Pasa
2,Pierde
3,Pasa
2,Pierde
4,Pasa
1,Pierde
2,Pierde
4,Pasa
5,Pasa
4,Pasa
0,Pierde
1,Pierde
4,Pasa
4,Pasa
5,Pasa
2,Pierde
2,Pierde
3,Pasa
0,Pierde
1,Pasa
1,Pierde
0,Pierde
3,Pasa
5,Pasa
4,Pasa
0,Pierde
4,Pasa
1,Pierde
0,Pierde
0,Pierde
5,Pasa
5,Pasa
2,Pierde
0,Pierde
1,Pierde
2,Pierde
5,Pasa
3,Pasa
3,Pasa
2,Pasa
4,Pasa
2,Pierde
2,Pierde
0,Pierde
0,Pierde
3,Pasa
5,Pasa
2,Pierde
3,Pasa
2,Pierde
4,Pasa
1,Pierde
2,Pierde
0,Pierde
0,Pierde
1,Pierde
3,Pasa
5,Pasa
1,Pierde
4,Pasa
5,Pasa
5,Pasa
1,Pierde
3,Pierde
1,Pierde
2,Pierde
0,Pierde
1,Pierde
2,Pierde
5,Pasa
5,Pasa
3,Pasa
2,Pierde
2,Pierde
5,Pasa
2,Pierde
